key;genre;number
Drama;Drama;5202
Comed;Comedy;4398
Action;Action;2608
Docu;Documentary;1604
Adventure;Adventure;1500
Crime;Crime;939
Sci-Fi;Sci-Fi;924
Fantasy;Fantasy;881
Horror;Horror;859
Suspense;Suspense;766
Romantic;Romanticy;585
Animation;Animation;580
Thriller;Thriller;500
Music;Music;472
Independent;Independent;369
Stand-Up;Stand-Up;364
Reality;Reality;348
Anime;Anime;336
Sport;Sport;306
Coming;Coming Of Age;209
Cult;Cult;208
Nature;Nature;194
Myster;Mystery;152
Art;Art;137
LGBTQ;LGBTQ;111
Lifestyle;Lifestyle;77
Historical;Historical;76
Classic;Classic;69
Black;Black Stories;67
Science;Science;57
Western;Western;53
Biographical;Biographical;38
Buddy;Buddy;38
Talk Shows;Talk Shows;37
Faith;Faith & Spirituality;33
Cooking;Cooking;33
Superhero;Superhero;27
Cartoons;Cartoons;23
Game Show;Game Show;20
War;War;16
